brand,model,year,price,mileage,fuel_type,transmission,engine_capacity,body_type,location,condition,seller_type,color,features_count,vehicle_age,tax_era,brand_category,fuel_efficiency,is_popular_model,log_price,age_group,mileage_per_year,mileage_category,brand_age_interaction,is_premium_combo,engine_category,fuel_efficiency_enc,tax_era_enc,mileage_category_enc,engine_category_enc
Toyota,Premio,2017,2637935.0,106235,Hybrid,Automatic,2000,Sedan,Gampaha,Used,Individual,Black,14,7,Medium Tax Era,Standard,High,0,14.78550735116146,Mid (4-7yr),15176.42857142857,High,0,0,Medium,3,2,3,3
Honda,Accord,2010,772674.0,152991,Petrol,Automatic,1500,Hatchback,Ratnapura,Reconditioned,Dealer,Red,20,14,Low Tax Era,Standard,Low,0,13.557613799315185,Vintage (13+yr),10927.92857142857,Very High,0,0,Small,1,1,4,2
Toyota,Camry,2019,3741843.0,69592,Hybrid,Automatic,1000,Sedan,Colombo,Used,Individual,Black,18,5,Medium Tax Era,Standard,High,0,15.135089096010766,Mid (4-7yr),13918.4,Medium,0,0,Small,3,2,2,2
Toyota,Prius,2011,802304.0,222038,Petrol,Automatic,1300,Coupe,Kurunegala,Used,Individual,White,10,13,Low Tax Era,Standard,Medium,1,13.59524411380509,Vintage (13+yr),17079.846153846152,Very High,0,0,Small,2,1,4,2
Suzuki,Every,2016,1086699.0,59508,Petrol,Manual,1800,Van,Colombo,Reconditioned,Individual,Silver,12,8,Medium Tax Era,Standard,Low,0,13.898656139050942,Old (8-12yr),7438.5,Medium,0,0,Medium,1,2,2,3
BMW,X3,2018,3249429.0,113847,Petrol,Automatic,2400,Wagon,Colombo,Used,Individual,Silver,5,6,Medium Tax Era,Luxury,Low,0,14.993990154308856,Mid (4-7yr),18974.5,High,6,0,Large,1,2,3,4
Toyota,Prius,2013,1337387.0,85237,Hybrid,Automatic,2000,Sedan,Negombo,Reconditioned,Dealer,Silver,7,11,Low Tax Era,Standard,High,1,14.106229015928292,Old (8-12yr),7748.818181818182,Medium,0,1,Medium,3,1,2,3
Suzuki,Every,2011,596058.0,173468,Petrol,Automatic,1000,Van,Batticaloa,Used,Individual,White,20,13,Low Tax Era,Standard,Medium,0,13.298094934436564,Vintage (13+yr),13343.692307692309,Very High,0,0,Small,2,1,4,2
Toyota,Premio,2015,1923960.0,63049,Electric,Manual,0,Sedan,Colombo,Used,Dealer,Black,9,9,Low Tax Era,Standard,Very High,0,14.469896639732074,Old (8-12yr),7005.444444444444,Medium,0,0,Micro,4,1,2,1
Honda,Accord,2018,2405101.0,89115,Hybrid,Manual,1800,Hatchback,Colombo,Used,Dealer,Blue,16,6,Medium Tax Era,Standard,High,0,14.693102872265062,Mid (4-7yr),14852.5,Medium,0,0,Medium,3,2,2,3
BMW,318i,2013,1608873.0,231836,Petrol,Automatic,2400,Wagon,Negombo,Used,Individual,White,14,11,Low Tax Era,Luxury,Low,0,14.291045113399159,Old (8-12yr),21076.0,Very High,11,0,Large,1,1,4,4
Mitsubishi,Outlander,2016,1643370.0,78513,Hybrid,Manual,1800,SUV,Batticaloa,Used,Individual,Black,7,8,Medium Tax Era,Standard,High,0,14.312260177980578,Old (8-12yr),9814.125,Medium,0,0,Medium,3,2,2,3
Suzuki,Alto,2013,686598.0,245983,Diesel,Manual,660,Hatchback,Negombo,Used,Dealer,White,21,11,Low Tax Era,Standard,Medium,1,13.439505703552586,Old (8-12yr),22362.090909090908,Very High,0,0,Micro,2,1,4,1
Suzuki,Wagon R,2014,939201.0,146234,Petrol,Automatic,660,Hatchback,Colombo,Reconditioned,Individual,Gold,24,10,Low Tax Era,Standard,Medium,1,13.752785857525593,Old (8-12yr),14623.4,High,0,1,Micro,2,1,3,1
Honda,Insight,2011,869156.0,182795,Petrol,Automatic,1800,Wagon,Ratnapura,Reconditioned,Individual,Black,11,13,Low Tax Era,Standard,Low,0,13.675279055362966,Vintage (13+yr),14061.153846153846,Very High,0,0,Medium,1,1,4,3
Toyota,Axio,2020,3331296.0,52098,Hybrid,Manual,1000,Sedan,Kurunegala,Reconditioned,Individual,White,17,4,High Tax Era,Standard,High,1,15.018872275614774,Mid (4-7yr),13024.5,Medium,0,1,Small,3,3,2,2
Suzuki,Swift,2018,1599061.0,94693,Electric,Automatic,0,Hatchback,Matara,Used,Dealer,Green,8,6,Medium Tax Era,Standard,Very High,1,14.284927765298287,Mid (4-7yr),15782.166666666666,Medium,0,0,Micro,4,2,2,1
Nissan,Note,2019,1849398.0,66790,Diesel,Manual,1500,Wagon,Kandy,Used,Individual,White,13,5,Medium Tax Era,Standard,Low,0,14.430371279409622,Mid (4-7yr),13358.0,Medium,0,0,Small,1,2,2,2
Honda,Civic,2021,4222234.0,48982,Hybrid,Automatic,1000,Sedan,Batticaloa,Used,Individual,Gold,19,3,High Tax Era,Standard,High,0,15.25587516666565,New (0-3yr),16327.333333333334,Low,0,0,Small,3,3,1,2
Suzuki,Swift,2021,2546276.0,40826,Hybrid,Automatic,1000,Hatchback,Gampaha,Used,Dealer,Silver,7,3,High Tax Era,Standard,High,1,14.750142850296093,New (0-3yr),13608.666666666666,Low,0,0,Small,3,3,1,2
Toyota,Camry,2021,3880447.0,36447,Diesel,Automatic,2000,Sedan,Colombo,Used,Individual,Black,22,3,High Tax Era,Standard,Low,0,15.171461168851536,New (0-3yr),12149.0,Low,0,0,Medium,1,3,1,3
Suzuki,Hustler,2022,2744551.0,55080,Petrol,Automatic,2000,Van,Colombo,Used,Individual,Gold,23,2,High Tax Era,Standard,Low,0,14.825128413777469,New (0-3yr),27540.0,Medium,0,0,Medium,1,3,2,3
Honda,Grace,2010,875852.0,138141,Diesel,Automatic,1000,Sedan,Kandy,Reconditioned,Dealer,Black,21,14,Low Tax Era,Standard,Medium,0,13.682953547617975,Vintage (13+yr),9867.214285714286,High,0,0,Small,2,1,3,2
Suzuki,Swift,2011,518569.0,80404,Petrol,Manual,1000,Hatchback,Ratnapura,Used,Dealer,Silver,9,13,Low Tax Era,Standard,Medium,1,13.15883030236099,Vintage (13+yr),6184.923076923077,Medium,0,0,Small,2,1,2,2
Suzuki,Every,2016,944869.0,78765,Petrol,Automatic,1800,Van,Negombo,Used,Dealer,Black,12,8,Medium Tax Era,Standard,Low,0,13.758802630875225,Old (8-12yr),9845.625,Medium,0,0,Medium,1,2,2,3
Suzuki,Spacia,2019,2153714.0,72049,Hybrid,Automatic,2000,Coupe,Kandy,Reconditioned,Individual,White,19,5,Medium Tax Era,Standard,High,0,14.582704815966753,Mid (4-7yr),14409.8,Medium,0,0,Medium,3,2,2,3
Honda,Vezel,2013,1284407.0,161317,Hybrid,Manual,1300,SUV,Gampaha,Used,Individual,Brown,24,11,Low Tax Era,Standard,High,1,14.065808469767322,Old (8-12yr),14665.181818181818,Very High,0,0,Small,3,1,4,2
Suzuki,Celerio,2015,1178799.0,110390,Hybrid,Automatic,2000,Van,Jaffna,Used,Dealer,White,9,9,Low Tax Era,Standard,High,0,13.980007529845677,Old (8-12yr),12265.555555555555,High,0,0,Medium,3,1,3,3
Suzuki,Every,2013,713719.0,223087,Diesel,Automatic,1500,Van,Kurunegala,Used,Individual,White,7,11,Low Tax Era,Standard,Low,0,13.478246007545366,Old (8-12yr),20280.636363636364,Very High,0,0,Small,1,1,4,2
Suzuki,Ertiga,2012,552322.0,201465,Petrol,Manual,1300,Van,Colombo,Used,Individual,Black,16,12,Low Tax Era,Standard,Medium,0,13.22188829905623,Old (8-12yr),16788.75,Very High,0,0,Small,2,1,4,2
Suzuki,Spacia,2014,832717.0,103624,Petrol,Automatic,1500,Wagon,Jaffna,Used,Individual,Silver,24,10,Low Tax Era,Standard,Low,0,13.632450328418765,Old (8-12yr),10362.4,High,0,0,Small,1,1,3,2
Suzuki,Spacia,2013,818322.0,108699,Diesel,Automatic,2000,Hatchback,Gampaha,Used,Dealer,Grey,18,11,Low Tax Era,Standard,Low,0,13.615012403171681,Old (8-12yr),9881.727272727272,High,0,0,Medium,1,1,3,3
Toyota,Prius,2016,1710773.0,74674,Petrol,Automatic,2000,Van,Gampaha,Used,Individual,White,16,8,Medium Tax Era,Standard,Low,1,14.352456457651018,Old (8-12yr),9334.25,Medium,0,0,Medium,1,2,2,3
Toyota,Corolla,2018,2891102.0,113794,Hybrid,Automatic,1800,Sedan,Kurunegala,Used,Dealer,Black,23,6,Medium Tax Era,Standard,High,0,14.877148648174273,Mid (4-7yr),18965.666666666668,High,0,0,Medium,3,2,3,3
Toyota,Allion,2018,2410269.0,74529,Petrol,Automatic,2000,Sedan,Colombo,Reconditioned,Individual,Black,20,6,Medium Tax Era,Standard,Low,0,14.69524933238661,Mid (4-7yr),12421.5,Medium,0,0,Medium,1,2,2,3
Toyota,Vezel,2020,2773172.0,28046,Petrol,Automatic,2000,SUV,Colombo,Reconditioned,Individual,Gold,8,4,High Tax Era,Standard,Low,1,14.835502709958075,Mid (4-7yr),7011.5,Low,0,1,Medium,1,3,1,3
BMW,X1,2012,1924497.0,93234,Hybrid,Manual,2500,Hatchback,Ratnapura,Used,Individual,White,23,12,Low Tax Era,Luxury,High,0,14.470175712474429,Old (8-12yr),7769.5,Medium,12,0,Large,3,1,2,4
Nissan,Caravan,2011,672558.0,184537,Diesel,Automatic,1500,Van,Gampaha,Reconditioned,Dealer,Black,14,13,Low Tax Era,Standard,Low,0,13.418845118951882,Vintage (13+yr),14195.153846153846,Very High,0,0,Small,1,1,4,2
Suzuki,Alto,2014,854185.0,245459,Petrol,Automatic,660,Hatchback,Kandy,Used,Dealer,Red,21,10,Low Tax Era,Standard,Medium,1,13.657904247650883,Old (8-12yr),24545.9,Very High,0,0,Micro,2,1,4,1
Nissan,March,2011,670427.0,219639,Diesel,Automatic,1000,Hatchback,Ratnapura,Used,Dealer,Blue,12,13,Low Tax Era,Standard,Medium,0,13.415671593387616,Vintage (13+yr),16895.30769230769,Very High,0,0,Small,2,1,4,2
Nissan,Caravan,2012,702741.0,166740,Petrol,Automatic,1300,Van,Gampaha,Reconditioned,Dealer,Silver,12,12,Low Tax Era,Standard,Medium,0,13.462745104854818,Old (8-12yr),13895.0,Very High,0,0,Small,2,1,4,2
Suzuki,Swift,2017,1461680.0,111520,Hybrid,Automatic,1000,Hatchback,Gampaha,Used,Individual,White,12,7,Medium Tax Era,Standard,High,1,14.195097701229585,Mid (4-7yr),15931.42857142857,High,0,0,Small,3,2,3,2
Toyota,Vitz,2014,1328543.0,163122,Diesel,Automatic,2000,Hatchback,Ratnapura,Used,Dealer,Green,5,10,Low Tax Era,Standard,Low,0,14.099594163693766,Old (8-12yr),16312.2,Very High,0,0,Medium,1,1,4,3
Nissan,Leaf,2009,564136.0,99029,Diesel,Automatic,1300,Sedan,Galle,Used,Individual,Black,24,15,Low Tax Era,Standard,Medium,0,13.24305240878429,Vintage (13+yr),6601.933333333333,Medium,0,0,Small,2,1,2,2
Mitsubishi,Mirage,2016,1708888.0,43756,Hybrid,Automatic,1500,Van,Gampaha,Used,Individual,White,14,8,Medium Tax Era,Standard,High,0,14.351354009725057,Old (8-12yr),5469.5,Low,0,0,Small,3,2,1,2
Toyota,CH-R,2016,2106625.0,116077,Hybrid,Manual,1300,SUV,Colombo,Used,Dealer,Brown,8,8,Medium Tax Era,Standard,High,0,14.560598173471142,Old (8-12yr),14509.625,High,0,0,Small,3,2,3,2
Mitsubishi,Mirage,2018,1982607.0,92329,Hybrid,Automatic,1000,Coupe,Colombo,Used,Dealer,Brown,5,6,Medium Tax Era,Standard,High,0,14.49992370767821,Mid (4-7yr),15388.166666666666,Medium,0,0,Small,3,2,2,2
Benz,E250,2012,2426827.0,197718,Electric,Manual,0,SUV,Gampaha,Used,Individual,White,24,12,Low Tax Era,Luxury,Very High,0,14.702095612811311,Old (8-12yr),16476.5,Very High,12,0,Micro,4,1,4,1
Honda,Vezel,2015,1607969.0,89688,Hybrid,Manual,1300,SUV,Anuradhapura,Used,Dealer,White,23,9,Low Tax Era,Standard,High,1,14.290483071830591,Old (8-12yr),9965.333333333334,Medium,0,0,Small,3,1,2,2
Honda,Civic,2015,1584426.0,86240,Diesel,Automatic,1300,Sedan,Negombo,Used,Individual,Gold,21,9,Low Tax Era,Standard,Medium,0,14.275733385735924,Old (8-12yr),9582.222222222223,Medium,0,0,Small,2,1,2,2
Mazda,CX-3,2012,1092178.0,231878,Hybrid,Automatic,1500,SUV,Gampaha,Reconditioned,Individual,Silver,20,12,Low Tax Era,Standard,High,0,13.903685341267588,Old (8-12yr),19323.166666666668,Very High,0,0,Small,3,1,4,2
Toyota,Axio,2016,2181308.0,68865,Hybrid,Automatic,1500,Sedan,Colombo,Used,Dealer,Gold,14,8,Medium Tax Era,Standard,High,1,14.595435713277666,Old (8-12yr),8608.125,Medium,0,0,Small,3,2,2,2
Honda,Civic,2019,2604647.0,66399,Hybrid,Automatic,1000,Sedan,Gampaha,Used,Individual,Black,12,5,Medium Tax Era,Standard,High,0,14.772808099279354,Mid (4-7yr),13279.8,Medium,0,0,Small,3,2,2,2
Mitsubishi,Lancer,2020,2501482.0,35059,Petrol,Automatic,1500,Van,Colombo,Reconditioned,Individual,White,22,4,High Tax Era,Standard,Low,0,14.732394313964857,Mid (4-7yr),8764.75,Low,0,0,Small,1,3,1,2
Toyota,CH-R,2020,2788071.0,35079,Petrol,Automatic,1800,SUV,Anuradhapura,Reconditioned,Dealer,White,6,4,High Tax Era,Standard,Low,0,14.840860875493226,Mid (4-7yr),8769.75,Low,0,0,Medium,1,3,1,3
Toyota,Allion,2017,2441952.0,118757,Hybrid,Automatic,2000,Sedan,Kalutara,Used,Dealer,White,14,7,Medium Tax Era,Standard,High,0,14.708308686948325,Mid (4-7yr),16965.285714285714,High,0,0,Medium,3,2,3,3
Benz,C180,2016,3589472.0,67856,Petrol,Automatic,3500,Sedan,Colombo,Used,Dealer,Green,17,8,Medium Tax Era,Luxury,Low,0,15.093515953031396,Old (8-12yr),8482.0,Medium,8,0,Large,1,2,2,4
Honda,Freed,2021,3802033.0,41665,Hybrid,Automatic,1000,Van,Kandy,Used,Dealer,White,10,3,High Tax Era,Standard,High,0,15.151046744652284,New (0-3yr),13888.333333333334,Low,0,0,Small,3,3,1,2
Toyota,Corolla,2016,2140473.0,99052,Hybrid,Automatic,1300,Sedan,Gampaha,Used,Dealer,White,8,8,Medium Tax Era,Standard,High,0,14.57653785779867,Old (8-12yr),12381.5,Medium,0,0,Small,3,2,2,2
Toyota,Vezel,2015,1678521.0,112355,Hybrid,Automatic,1500,SUV,Gampaha,Reconditioned,Dealer,White,5,9,Low Tax Era,Standard,High,1,14.333424202257053,Old (8-12yr),12483.888888888889,High,0,1,Small,3,1,3,2
Suzuki,Swift,2017,1433917.0,55850,Hybrid,Manual,1500,Hatchback,Ratnapura,Used,Individual,White,21,7,Medium Tax Era,Standard,High,1,14.17592111580099,Mid (4-7yr),7978.571428571428,Medium,0,0,Small,3,2,2,2
Nissan,March,2016,1503673.0,64354,Hybrid,Automatic,1000,Hatchback,Kurunegala,Used,Individual,White,21,8,Medium Tax Era,Standard,High,0,14.223422004677944,Old (8-12yr),8044.25,Medium,0,0,Small,3,2,2,2
Hyundai,i10,2012,886387.0,212413,Electric,Manual,0,Wagon,Negombo,Reconditioned,Dealer,Green,22,12,Low Tax Era,Standard,Very High,0,13.694910056977381,Old (8-12yr),17701.083333333332,Very High,0,0,Micro,4,1,4,1
Toyota,Camry,2010,681535.0,239007,Diesel,Manual,1300,Sedan,Anuradhapura,Used,Individual,Silver,13,14,Low Tax Era,Standard,Medium,0,13.432104353375056,Vintage (13+yr),17071.928571428572,Very High,0,0,Small,2,1,4,2
Toyota,CH-R,2019,2993094.0,76062,Hybrid,Automatic,1300,SUV,Kurunegala,Used,Dealer,Black,16,5,Medium Tax Era,Standard,High,0,14.911818527059475,Mid (4-7yr),15212.4,Medium,0,0,Small,3,2,2,2
Toyota,Premio,2016,1982956.0,60662,Diesel,Automatic,1000,Sedan,Negombo,Used,Dealer,Black,17,8,Medium Tax Era,Standard,Medium,0,14.500099722950132,Old (8-12yr),7582.75,Medium,0,0,Small,2,2,2,2
Toyota,CH-R,2016,1672536.0,106081,Petrol,Manual,2000,SUV,Kalutara,Used,Individual,White,21,8,Medium Tax Era,Standard,Low,0,14.329852193310822,Old (8-12yr),13260.125,High,0,0,Medium,1,2,3,3
Suzuki,Wagon R,2017,1253567.0,98606,Diesel,Automatic,1000,Hatchback,Negombo,Used,Individual,White,18,7,Medium Tax Era,Standard,Medium,1,14.041504443214414,Mid (4-7yr),14086.57142857143,Medium,0,0,Small,2,2,2,2
Mazda,Demio,2013,979651.0,246472,Petrol,Automatic,1800,Hatchback,Kalutara,Used,Dealer,White,10,11,Low Tax Era,Standard,Low,0,13.79495268554228,Old (8-12yr),22406.545454545456,Very High,0,0,Medium,1,1,4,3
KIA,Picanto,2020,2141501.0,29561,Petrol,Manual,1500,Van,Colombo,Reconditioned,Dealer,White,15,4,High Tax Era,Standard,Low,0,14.577018009961945,Mid (4-7yr),7390.25,Low,0,0,Small,1,3,1,2
Toyota,Aqua,2021,3589289.0,29199,Diesel,Automatic,1000,Hatchback,Kurunegala,Used,Individual,White,7,3,High Tax Era,Standard,Medium,1,15.093464969317338,New (0-3yr),9733.0,Low,0,0,Small,2,3,1,2
Honda,Accord,2020,2515162.0,22906,Petrol,Automatic,1000,Sedan,Jaffna,Reconditioned,Individual,Black,13,4,High Tax Era,Standard,Medium,0,14.737848170549027,Mid (4-7yr),5726.5,Low,0,0,Small,2,3,1,2
Mazda,Demio,2019,2808925.0,82520,Hybrid,Automatic,1800,Hatchback,Gampaha,Used,Dealer,Black,10,5,Medium Tax Era,Standard,High,0,14.848312761844749,Mid (4-7yr),16504.0,Medium,0,0,Medium,3,2,2,3
Toyota,Premio,2023,4364980.125,5733,Hybrid,Automatic,2000,Sedan,Galle,Used,Dealer,Black,17,1,High Tax Era,Standard,High,0,15.28912442307696,New (0-3yr),5733.0,Low,0,0,Medium,3,3,1,3
Mazda,Atenza,2020,2659171.0,17139,Hybrid,Manual,1000,Wagon,Negombo,Reconditioned,Dealer,Silver,10,4,High Tax Era,Standard,High,0,14.79352535410528,Mid (4-7yr),4284.75,Low,0,0,Small,3,3,1,2
KIA,Cerato,2020,2421709.0,27713,Petrol,Automatic,1300,Van,Ratnapura,Used,Individual,White,17,4,High Tax Era,Standard,Medium,0,14.699984460170702,Mid (4-7yr),6928.25,Low,0,0,Small,2,3,1,2
Benz,C180,2011,1623622.0,224059,Petrol,Manual,2500,Coupe,Kandy,Used,Dealer,Black,19,13,Low Tax Era,Luxury,Low,0,14.300170629897293,Vintage (13+yr),17235.30769230769,Very High,13,0,Large,1,1,4,4
Toyota,Allion,2012,1495430.0,195953,Electric,Automatic,0,Sedan,Negombo,Reconditioned,Individual,White,22,12,Low Tax Era,Standard,Very High,0,14.217925017572485,Old (8-12yr),16329.416666666666,Very High,0,0,Micro,4,1,4,1
BMW,520d,2016,3104420.0,61427,Hybrid,Automatic,2500,Sedan,Kandy,Used,Dealer,Silver,6,8,Medium Tax Era,Luxury,High,0,14.948337782531432,Old (8-12yr),7678.375,Medium,8,0,Large,3,2,2,4
Benz,C180,2011,1578300.0,177768,Petrol,Manual,3500,SUV,Colombo,Used,Dealer,Silver,7,13,Low Tax Era,Luxury,Low,0,14.271859509979913,Vintage (13+yr),13674.461538461539,Very High,13,0,Large,1,1,4,4
Toyota,Premio,2020,3370301.0,43602,Electric,Automatic,0,Sedan,Gampaha,Used,Individual,Red,6,4,High Tax Era,Standard,Very High,0,15.030512912556752,Mid (4-7yr),10900.5,Low,0,0,Micro,4,3,1,1
Toyota,Corolla,2018,2931631.0,66385,Hybrid,Automatic,1800,Sedan,Jaffna,Used,Dealer,Red,18,6,Medium Tax Era,Standard,High,0,14.89106982251526,Mid (4-7yr),11064.166666666666,Medium,0,0,Medium,3,2,2,3
Toyota,Premio,2021,4353039.0,30251,Hybrid,Automatic,1000,Sedan,Colombo,Used,Dealer,White,6,3,High Tax Era,Standard,High,0,15.286385009557229,New (0-3yr),10083.666666666666,Low,0,0,Small,3,3,1,2
Toyota,Aqua,2008,592588.0,237661,Petrol,Automatic,1500,Hatchback,Jaffna,Reconditioned,Dealer,White,23,16,Low Tax Era,Standard,Low,1,13.292256351681349,Vintage (13+yr),14853.8125,Very High,0,1,Small,1,1,4,2
Toyota,Corolla,2017,2515214.0,114319,Hybrid,Automatic,1000,Sedan,Colombo,Used,Individual,Black,5,7,Medium Tax Era,Standard,High,0,14.7378688449397,Mid (4-7yr),16331.285714285714,High,0,0,Small,3,2,3,2
Toyota,Allion,2015,1547342.0,92326,Petrol,Automatic,1300,Sedan,Colombo,Reconditioned,Individual,White,15,9,Low Tax Era,Standard,Medium,0,14.25204982443609,Old (8-12yr),10258.444444444445,Medium,0,0,Small,2,1,2,2
KIA,Sportage,2021,2684505.0,41015,Petrol,Manual,1300,Van,Gampaha,Reconditioned,Dealer,White,24,3,High Tax Era,Standard,Medium,0,14.803007283895345,New (0-3yr),13671.666666666666,Low,0,0,Small,2,3,1,2
Honda,Freed,2016,2006350.0,96446,Hybrid,Automatic,1500,Van,Kurunegala,Reconditioned,Dealer,Black,23,8,Medium Tax Era,Standard,High,0,14.51182820727244,Old (8-12yr),12055.75,Medium,0,0,Small,3,2,2,2
BMW,X3,2019,4364980.125,68380,Hybrid,Automatic,2500,Van,Negombo,Used,Individual,Green,13,5,Medium Tax Era,Luxury,High,0,15.28912442307696,Mid (4-7yr),13676.0,Medium,5,0,Large,3,2,2,4
Toyota,Axio,2018,2145555.0,56309,Petrol,Automatic,1800,Sedan,Batticaloa,Used,Individual,Blue,9,6,Medium Tax Era,Standard,Low,1,14.578909284215012,Mid (4-7yr),9384.833333333334,Medium,0,0,Medium,1,2,2,3
Suzuki,Hustler,2016,1392744.0,44703,Hybrid,Automatic,1300,Van,Anuradhapura,Reconditioned,Individual,White,23,8,Medium Tax Era,Standard,High,0,14.146787177856872,Old (8-12yr),5587.875,Low,0,0,Small,3,2,1,2
Suzuki,Swift,2017,1212919.0,97056,Petrol,Automatic,1300,Hatchback,Batticaloa,Used,Individual,Grey,17,7,Medium Tax Era,Standard,Medium,1,14.00854123356658,Mid (4-7yr),13865.142857142857,Medium,0,0,Small,2,2,2,2
Toyota,Vezel,2017,1867769.0,109350,Petrol,Automatic,1000,SUV,Jaffna,Used,Individual,Silver,16,7,Medium Tax Era,Standard,Medium,1,14.440255763851926,Mid (4-7yr),15621.42857142857,High,0,0,Small,2,2,3,2
