model,year,price,mileage,engine_capacity,color,features_count,vehicle_age,tax_era,fuel_efficiency,is_popular_model,log_price,age_group,mileage_per_year,mileage_category,brand_age_interaction,is_premium_combo,engine_category,fuel_efficiency_enc,tax_era_enc,mileage_category_enc,engine_category_enc,brand_Benz,brand_Honda,brand_Hyundai,brand_KIA,brand_Mazda,brand_Mitsubishi,brand_Nissan,brand_Suzuki,brand_Toyota,fuel_type_Electric,fuel_type_Hybrid,fuel_type_Petrol,transmission_Manual,body_type_Hatchback,body_type_SUV,body_type_Sedan,body_type_Van,body_type_Wagon,condition_Used,seller_type_Individual,brand_category_Standard,location_Batticaloa,location_Colombo,location_Galle,location_Gampaha,location_Jaffna,location_Kalutara,location_Kandy,location_Kurunegala,location_Matara,location_Negombo,location_Ratnapura
Corolla,2019,2785431.0,95016,1500,White,19,5,Medium Tax Era,Low,0,14.83991353601076,Mid (4-7yr),19003.2,Medium,0,0,Small,1,2,2,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False
Vezel,2018,2296965.0,94384,1800,White,21,6,Medium Tax Era,Low,1,14.647099679646145,Mid (4-7yr),15730.666666666666,Medium,0,0,Medium,1,2,2,3,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False
X3,2010,1232301.0,170084,2400,Silver,15,14,Low Tax Era,Low,0,14.024394522906315,Vintage (13+yr),12148.857142857143,Very High,14,0,Large,1,1,4,4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
Vitz,2015,1929668.0,92083,0,Black,20,9,Low Tax Era,Very High,0,14.472859043582144,Old (8-12yr),10231.444444444445,Medium,0,0,Micro,4,1,2,1,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
Vezel,2013,1237085.0,204249,1800,Blue,15,11,Low Tax Era,High,1,14.028269171997623,Old (8-12yr),18568.090909090908,Very High,0,1,Medium,3,1,4,3,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
CH-R,2017,2090470.0,100713,1300,Green,16,7,Medium Tax Era,Medium,0,14.552899957403177,Mid (4-7yr),14387.57142857143,High,0,0,Small,2,2,3,2,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False
Sportage,2014,1116752.0,95151,1000,Silver,7,10,Low Tax Era,High,0,13.925935925577447,Old (8-12yr),9515.1,Medium,0,0,Small,3,1,2,2,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
i10,2008,500000.0,101357,2000,White,12,16,Low Tax Era,Low,0,13.122365377402328,Vintage (13+yr),6334.8125,High,0,0,Medium,1,1,3,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False
Fit,2017,2069609.0,80818,2000,Black,5,7,Medium Tax Era,High,1,14.542870741693848,Mid (4-7yr),11545.42857142857,Medium,0,0,Medium,3,2,2,3,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
Every,2013,876530.0,125714,1000,Grey,13,11,Low Tax Era,High,0,13.683727350658668,Old (8-12yr),11428.545454545454,High,0,0,Small,3,1,3,2,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
Premio,2017,2637935.0,106235,2000,Black,14,7,Medium Tax Era,High,0,14.78550735116146,Mid (4-7yr),15176.42857142857,High,0,0,Medium,3,2,3,3,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
Accord,2010,772674.0,152991,1500,Red,20,14,Low Tax Era,Low,0,13.557613799315185,Vintage (13+yr),10927.92857142857,Very High,0,0,Small,1,1,4,2,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Camry,2019,3741843.0,69592,1000,Black,18,5,Medium Tax Era,High,0,15.135089096010766,Mid (4-7yr),13918.4,Medium,0,0,Small,3,2,2,2,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False
Prius,2011,802304.0,222038,1300,White,10,13,Low Tax Era,Medium,1,13.59524411380509,Vintage (13+yr),17079.846153846152,Very High,0,0,Small,2,1,4,2,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
Every,2016,1086699.0,59508,1800,Silver,12,8,Medium Tax Era,Low,0,13.898656139050942,Old (8-12yr),7438.5,Medium,0,0,Medium,1,2,2,3,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
X3,2018,3249429.0,113847,2400,Silver,5,6,Medium Tax Era,Low,0,14.993990154308856,Mid (4-7yr),18974.5,High,6,0,Large,1,2,3,4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False
Prius,2013,1337387.0,85237,2000,Silver,7,11,Low Tax Era,High,1,14.106229015928292,Old (8-12yr),7748.818181818182,Medium,0,1,Medium,3,1,2,3,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Every,2011,596058.0,173468,1000,White,20,13,Low Tax Era,Medium,0,13.298094934436564,Vintage (13+yr),13343.692307692309,Very High,0,0,Small,2,1,4,2,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
Premio,2015,1923960.0,63049,0,Black,9,9,Low Tax Era,Very High,0,14.469896639732074,Old (8-12yr),7005.444444444444,Medium,0,0,Micro,4,1,2,1,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
Accord,2018,2405101.0,89115,1800,Blue,16,6,Medium Tax Era,High,0,14.693102872265062,Mid (4-7yr),14852.5,Medium,0,0,Medium,3,2,2,3,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
318i,2013,1608873.0,231836,2400,White,14,11,Low Tax Era,Low,0,14.291045113399159,Old (8-12yr),21076.0,Very High,11,0,Large,1,1,4,4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False
Outlander,2016,1643370.0,78513,1800,Black,7,8,Medium Tax Era,High,0,14.312260177980578,Old (8-12yr),9814.125,Medium,0,0,Medium,3,2,2,3,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
Alto,2013,686598.0,245983,660,White,21,11,Low Tax Era,Medium,1,13.439505703552586,Old (8-12yr),22362.090909090908,Very High,0,0,Micro,2,1,4,1,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
Wagon R,2014,939201.0,146234,660,Gold,24,10,Low Tax Era,Medium,1,13.752785857525593,Old (8-12yr),14623.4,High,0,1,Micro,2,1,3,1,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
Insight,2011,869156.0,182795,1800,Black,11,13,Low Tax Era,Low,0,13.675279055362966,Vintage (13+yr),14061.153846153846,Very High,0,0,Medium,1,1,4,3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True
Axio,2020,3331296.0,52098,1000,White,17,4,High Tax Era,High,1,15.018872275614774,Mid (4-7yr),13024.5,Medium,0,1,Small,3,3,2,2,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
Swift,2018,1599061.0,94693,0,Green,8,6,Medium Tax Era,Very High,1,14.284927765298287,Mid (4-7yr),15782.166666666666,Medium,0,0,Micro,4,2,2,1,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
Note,2019,1849398.0,66790,1500,White,13,5,Medium Tax Era,Low,0,14.430371279409622,Mid (4-7yr),13358.0,Medium,0,0,Small,1,2,2,2,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False
Civic,2021,4222234.0,48982,1000,Gold,19,3,High Tax Era,High,0,15.25587516666565,New (0-3yr),16327.333333333334,Low,0,0,Small,3,3,1,2,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
Swift,2021,2546276.0,40826,1000,Silver,7,3,High Tax Era,High,1,14.750142850296093,New (0-3yr),13608.666666666666,Low,0,0,Small,3,3,1,2,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
Camry,2021,3880447.0,36447,2000,Black,22,3,High Tax Era,Low,0,15.171461168851536,New (0-3yr),12149.0,Low,0,0,Medium,1,3,1,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False
Hustler,2022,2744551.0,55080,2000,Gold,23,2,High Tax Era,Low,0,14.825128413777469,New (0-3yr),27540.0,Medium,0,0,Medium,1,3,2,3,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False
Grace,2010,875852.0,138141,1000,Black,21,14,Low Tax Era,Medium,0,13.682953547617975,Vintage (13+yr),9867.214285714286,High,0,0,Small,2,1,3,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Swift,2011,518569.0,80404,1000,Silver,9,13,Low Tax Era,Medium,1,13.15883030236099,Vintage (13+yr),6184.923076923077,Medium,0,0,Small,2,1,2,2,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
Every,2016,944869.0,78765,1800,Black,12,8,Medium Tax Era,Low,0,13.758802630875225,Old (8-12yr),9845.625,Medium,0,0,Medium,1,2,2,3,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
Spacia,2019,2153714.0,72049,2000,White,19,5,Medium Tax Era,High,0,14.582704815966753,Mid (4-7yr),14409.8,Medium,0,0,Medium,3,2,2,3,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
Vezel,2013,1284407.0,161317,1300,Brown,24,11,Low Tax Era,High,1,14.065808469767322,Old (8-12yr),14665.181818181818,Very High,0,0,Small,3,1,4,2,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
Celerio,2015,1178799.0,110390,2000,White,9,9,Low Tax Era,High,0,13.980007529845677,Old (8-12yr),12265.555555555555,High,0,0,Medium,3,1,3,3,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
Every,2013,713719.0,223087,1500,White,7,11,Low Tax Era,Low,0,13.478246007545366,Old (8-12yr),20280.636363636364,Very High,0,0,Small,1,1,4,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
Ertiga,2012,552322.0,201465,1300,Black,16,12,Low Tax Era,Medium,0,13.22188829905623,Old (8-12yr),16788.75,Very High,0,0,Small,2,1,4,2,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False
Spacia,2014,832717.0,103624,1500,Silver,24,10,Low Tax Era,Low,0,13.632450328418765,Old (8-12yr),10362.4,High,0,0,Small,1,1,3,2,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
Spacia,2013,818322.0,108699,2000,Grey,18,11,Low Tax Era,Low,0,13.615012403171681,Old (8-12yr),9881.727272727272,High,0,0,Medium,1,1,3,3,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
Prius,2016,1710773.0,74674,2000,White,16,8,Medium Tax Era,Low,1,14.352456457651018,Old (8-12yr),9334.25,Medium,0,0,Medium,1,2,2,3,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
Corolla,2018,2891102.0,113794,1800,Black,23,6,Medium Tax Era,High,0,14.877148648174273,Mid (4-7yr),18965.666666666668,High,0,0,Medium,3,2,3,3,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
Allion,2018,2410269.0,74529,2000,Black,20,6,Medium Tax Era,Low,0,14.69524933238661,Mid (4-7yr),12421.5,Medium,0,0,Medium,1,2,2,3,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
Vezel,2020,2773172.0,28046,2000,Gold,8,4,High Tax Era,Low,1,14.835502709958075,Mid (4-7yr),7011.5,Low,0,1,Medium,1,3,1,3,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
X1,2012,1924497.0,93234,2500,White,23,12,Low Tax Era,High,0,14.470175712474429,Old (8-12yr),7769.5,Medium,12,0,Large,3,1,2,4,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
Caravan,2011,672558.0,184537,1500,Black,14,13,Low Tax Era,Low,0,13.418845118951882,Vintage (13+yr),14195.153846153846,Very High,0,0,Small,1,1,4,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Alto,2014,854185.0,245459,660,Red,21,10,Low Tax Era,Medium,1,13.657904247650883,Old (8-12yr),24545.9,Very High,0,0,Micro,2,1,4,1,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
March,2011,670427.0,219639,1000,Blue,12,13,Low Tax Era,Medium,0,13.415671593387616,Vintage (13+yr),16895.30769230769,Very High,0,0,Small,2,1,4,2,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
Caravan,2012,702741.0,166740,1300,Silver,12,12,Low Tax Era,Medium,0,13.462745104854818,Old (8-12yr),13895.0,Very High,0,0,Small,2,1,4,2,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Swift,2017,1461680.0,111520,1000,White,12,7,Medium Tax Era,High,1,14.195097701229585,Mid (4-7yr),15931.42857142857,High,0,0,Small,3,2,3,2,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
Vitz,2014,1328543.0,163122,2000,Green,5,10,Low Tax Era,Low,0,14.099594163693766,Old (8-12yr),16312.2,Very High,0,0,Medium,1,1,4,3,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
Leaf,2009,564136.0,99029,1300,Black,24,15,Low Tax Era,Medium,0,13.24305240878429,Vintage (13+yr),6601.933333333333,Medium,0,0,Small,2,1,2,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False
Mirage,2016,1708888.0,43756,1500,White,14,8,Medium Tax Era,High,0,14.351354009725057,Old (8-12yr),5469.5,Low,0,0,Small,3,2,1,2,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
CH-R,2016,2106625.0,116077,1300,Brown,8,8,Medium Tax Era,High,0,14.560598173471142,Old (8-12yr),14509.625,High,0,0,Small,3,2,3,2,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
Mirage,2018,1982607.0,92329,1000,Brown,5,6,Medium Tax Era,High,0,14.49992370767821,Mid (4-7yr),15388.166666666666,Medium,0,0,Small,3,2,2,2,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
E250,2012,2426827.0,197718,0,White,24,12,Low Tax Era,Very High,0,14.702095612811311,Old (8-12yr),16476.5,Very High,12,0,Micro,4,1,4,1,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
Vezel,2015,1607969.0,89688,1300,White,23,9,Low Tax Era,High,1,14.290483071830591,Old (8-12yr),9965.333333333334,Medium,0,0,Small,3,1,2,2,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Civic,2015,1584426.0,86240,1300,Gold,21,9,Low Tax Era,Medium,0,14.275733385735924,Old (8-12yr),9582.222222222223,Medium,0,0,Small,2,1,2,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False
CX-3,2012,1092178.0,231878,1500,Silver,20,12,Low Tax Era,High,0,13.903685341267588,Old (8-12yr),19323.166666666668,Very High,0,0,Small,3,1,4,2,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False
Axio,2016,2181308.0,68865,1500,Gold,14,8,Medium Tax Era,High,1,14.595435713277666,Old (8-12yr),8608.125,Medium,0,0,Small,3,2,2,2,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
Civic,2019,2604647.0,66399,1000,Black,12,5,Medium Tax Era,High,0,14.772808099279354,Mid (4-7yr),13279.8,Medium,0,0,Small,3,2,2,2,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
Lancer,2020,2501482.0,35059,1500,White,22,4,High Tax Era,Low,0,14.732394313964857,Mid (4-7yr),8764.75,Low,0,0,Small,1,3,1,2,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
CH-R,2020,2788071.0,35079,1800,White,6,4,High Tax Era,Low,0,14.840860875493226,Mid (4-7yr),8769.75,Low,0,0,Medium,1,3,1,3,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Allion,2017,2441952.0,118757,2000,White,14,7,Medium Tax Era,High,0,14.708308686948325,Mid (4-7yr),16965.285714285714,High,0,0,Medium,3,2,3,3,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
C180,2016,3589472.0,67856,3500,Green,17,8,Medium Tax Era,Low,0,15.093515953031396,Old (8-12yr),8482.0,Medium,8,0,Large,1,2,2,4,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
Freed,2021,3802033.0,41665,1000,White,10,3,High Tax Era,High,0,15.151046744652284,New (0-3yr),13888.333333333334,Low,0,0,Small,3,3,1,2,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
Corolla,2016,2140473.0,99052,1300,White,8,8,Medium Tax Era,High,0,14.57653785779867,Old (8-12yr),12381.5,Medium,0,0,Small,3,2,2,2,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
Vezel,2015,1678521.0,112355,1500,White,5,9,Low Tax Era,High,1,14.333424202257053,Old (8-12yr),12483.888888888889,High,0,1,Small,3,1,3,2,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Swift,2017,1433917.0,55850,1500,White,21,7,Medium Tax Era,High,1,14.17592111580099,Mid (4-7yr),7978.571428571428,Medium,0,0,Small,3,2,2,2,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True
March,2016,1503673.0,64354,1000,White,21,8,Medium Tax Era,High,0,14.223422004677944,Old (8-12yr),8044.25,Medium,0,0,Small,3,2,2,2,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
i10,2012,886387.0,212413,0,Green,22,12,Low Tax Era,Very High,0,13.694910056977381,Old (8-12yr),17701.083333333332,Very High,0,0,Micro,4,1,4,1,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Camry,2010,681535.0,239007,1300,Silver,13,14,Low Tax Era,Medium,0,13.432104353375056,Vintage (13+yr),17071.928571428572,Very High,0,0,Small,2,1,4,2,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
CH-R,2019,2993094.0,76062,1300,Black,16,5,Medium Tax Era,High,0,14.911818527059475,Mid (4-7yr),15212.4,Medium,0,0,Small,3,2,2,2,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
Premio,2016,1982956.0,60662,1000,Black,17,8,Medium Tax Era,Medium,0,14.500099722950132,Old (8-12yr),7582.75,Medium,0,0,Small,2,2,2,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
CH-R,2016,1672536.0,106081,2000,White,21,8,Medium Tax Era,Low,0,14.329852193310822,Old (8-12yr),13260.125,High,0,0,Medium,1,2,3,3,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False
Wagon R,2017,1253567.0,98606,1000,White,18,7,Medium Tax Era,Medium,1,14.041504443214414,Mid (4-7yr),14086.57142857143,Medium,0,0,Small,2,2,2,2,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False
Demio,2013,979651.0,246472,1800,White,10,11,Low Tax Era,Low,0,13.79495268554228,Old (8-12yr),22406.545454545456,Very High,0,0,Medium,1,1,4,3,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
Picanto,2020,2141501.0,29561,1500,White,15,4,High Tax Era,Low,0,14.577018009961945,Mid (4-7yr),7390.25,Low,0,0,Small,1,3,1,2,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
