brand,model,year,price,mileage,fuel_type,transmission,engine_capacity,body_type,location,condition,seller_type,color,features_count,vehicle_age,tax_era,brand_category,fuel_efficiency,price_per_km,is_popular_model
Mitsubishi,Outlander,2016,1643370,78513,Hybrid,Manual,1800,SUV,Batticaloa,Used,Individual,Black,7,8,Medium Tax Era,Standard,High,20.93,0
Suzuki,Alto,2013,686598,245983,Diesel,Manual,660,Hatchback,Negombo,Used,Dealer,White,21,11,Low Tax Era,Standard,Medium,2.79,1
Suzuki,Wagon R,2014,939201,146234,Petrol,Automatic,660,Hatchback,Colombo,Reconditioned,Individual,Gold,24,10,Low Tax Era,Standard,Medium,6.42,1
Honda,Insight,2011,869156,182795,Petrol,Automatic,1800,Wagon,Ratnapura,Reconditioned,Individual,Black,11,13,Low Tax Era,Standard,Low,4.75,0
Toyota,Axio,2020,3331296,52098,Hybrid,Manual,1000,Sedan,Kurunegala,Reconditioned,Individual,White,17,4,High Tax Era,Standard,High,63.94,1
Suzuki,Swift,2018,1599061,94693,Electric,Automatic,0,Hatchback,Matara,Used,Dealer,Green,8,6,Medium Tax Era,Standard,Very High,16.89,1
Nissan,Note,2019,1849398,66790,Diesel,Manual,1500,Wagon,Kandy,Used,Individual,White,13,5,Medium Tax Era,Standard,Low,27.69,0
Honda,Civic,2021,4222234,48982,Hybrid,Automatic,1000,Sedan,Batticaloa,Used,Individual,Gold,19,3,High Tax Era,Standard,High,86.2,0
Suzuki,Swift,2021,2546276,40826,Hybrid,Automatic,1000,Hatchback,Gampaha,Used,Dealer,Silver,7,3,High Tax Era,Standard,High,62.37,1
Toyota,Camry,2021,3880447,36447,Diesel,Automatic,2000,Sedan,Colombo,Used,Individual,Black,22,3,High Tax Era,Standard,Low,106.47,0
Suzuki,Hustler,2022,2744551,55080,Petrol,Automatic,2000,Van,Colombo,Used,Individual,Gold,23,2,High Tax Era,Standard,Low,49.83,0
Honda,Grace,2010,875852,138141,Diesel,Automatic,1000,Sedan,Kandy,Reconditioned,Dealer,Black,21,14,Low Tax Era,Standard,Medium,6.34,0
Suzuki,Swift,2011,518569,80404,Petrol,Manual,1000,Hatchback,Ratnapura,Used,Dealer,Silver,9,13,Low Tax Era,Standard,Medium,6.45,1
Suzuki,Every,2016,944869,78765,Petrol,Automatic,1800,Van,Negombo,Used,Dealer,Black,12,8,Medium Tax Era,Standard,Low,12,0
Suzuki,Spacia,2019,2153714,72049,Hybrid,Automatic,2000,Coupe,Kandy,Reconditioned,Individual,White,19,5,Medium Tax Era,Standard,High,29.89,0
Honda,Vezel,2013,1284407,161317,Hybrid,Manual,1300,SUV,Gampaha,Used,Individual,Brown,24,11,Low Tax Era,Standard,High,7.96,1
Suzuki,Celerio,2015,1178799,110390,Hybrid,Automatic,2000,Van,Jaffna,Used,Dealer,White,9,9,Low Tax Era,Standard,High,10.68,0
Suzuki,Every,2013,713719,223087,Diesel,Automatic,1500,Van,Kurunegala,Used,Individual,White,7,11,Low Tax Era,Standard,Low,3.2,0
Suzuki,Ertiga,2012,552322,201465,Petrol,Manual,1300,Van,Colombo,Used,Individual,Black,16,12,Low Tax Era,Standard,Medium,2.74,0
Suzuki,Spacia,2014,832717,103624,Petrol,Automatic,1500,Wagon,Jaffna,Used,Individual,Silver,24,10,Low Tax Era,Standard,Low,8.04,0
Suzuki,Spacia,2013,818322,108699,Diesel,Automatic,2000,Hatchback,Gampaha,Used,Dealer,Grey,18,11,Low Tax Era,Standard,Low,7.53,0
Toyota,Prius,2016,1710773,74674,Petrol,Automatic,2000,Van,Gampaha,Used,Individual,White,16,8,Medium Tax Era,Standard,Low,22.91,1
Toyota,Corolla,2018,2891102,113794,Hybrid,Automatic,1800,Sedan,Kurunegala,Used,Dealer,Black,23,6,Medium Tax Era,Standard,High,25.41,0
Toyota,Allion,2018,2410269,74529,Petrol,Automatic,2000,Sedan,Colombo,Reconditioned,Individual,Black,20,6,Medium Tax Era,Standard,Low,32.34,0
Toyota,Vezel,2020,2773172,28046,Petrol,Automatic,2000,SUV,Colombo,Reconditioned,Individual,Gold,8,4,High Tax Era,Standard,Low,98.88,1
BMW,X1,2012,1924497,93234,Hybrid,Manual,2500,Hatchback,Ratnapura,Used,Individual,White,23,12,Low Tax Era,Luxury,High,20.64,0
Nissan,Caravan,2011,672558,184537,Diesel,Automatic,1500,Van,Gampaha,Reconditioned,Dealer,Black,14,13,Low Tax Era,Standard,Low,3.64,0
Suzuki,Alto,2014,854185,245459,Petrol,Automatic,660,Hatchback,Kandy,Used,Dealer,Red,21,10,Low Tax Era,Standard,Medium,3.48,1
Nissan,March,2011,670427,219639,Diesel,Automatic,1000,Hatchback,Ratnapura,Used,Dealer,Blue,12,13,Low Tax Era,Standard,Medium,3.05,0
Nissan,Caravan,2012,702741,166740,Petrol,Automatic,1300,Van,Gampaha,Reconditioned,Dealer,Silver,12,12,Low Tax Era,Standard,Medium,4.21,0
Suzuki,Swift,2017,1461680,111520,Hybrid,Automatic,1000,Hatchback,Gampaha,Used,Individual,White,12,7,Medium Tax Era,Standard,High,13.11,1
Toyota,Vitz,2014,1328543,163122,Diesel,Automatic,2000,Hatchback,Ratnapura,Used,Dealer,Green,5,10,Low Tax Era,Standard,Low,8.14,0
Nissan,Leaf,2009,564136,99029,Diesel,Automatic,1300,Sedan,Galle,Used,Individual,Black,24,15,Low Tax Era,Standard,Medium,5.7,0
Mitsubishi,Mirage,2016,1708888,43756,Hybrid,Automatic,1500,Van,Gampaha,Used,Individual,White,14,8,Medium Tax Era,Standard,High,39.05,0
Toyota,CH-R,2016,2106625,116077,Hybrid,Manual,1300,SUV,Colombo,Used,Dealer,Brown,8,8,Medium Tax Era,Standard,High,18.15,0
Mitsubishi,Mirage,2018,1982607,92329,Hybrid,Automatic,1000,Coupe,Colombo,Used,Dealer,Brown,5,6,Medium Tax Era,Standard,High,21.47,0
Benz,E250,2012,2426827,197718,Electric,Manual,0,SUV,Gampaha,Used,Individual,White,24,12,Low Tax Era,Luxury,Very High,12.27,0
Honda,Vezel,2015,1607969,89688,Hybrid,Manual,1300,SUV,Anuradhapura,Used,Dealer,White,23,9,Low Tax Era,Standard,High,17.93,1
Honda,Civic,2015,1584426,86240,Diesel,Automatic,1300,Sedan,Negombo,Used,Individual,Gold,21,9,Low Tax Era,Standard,Medium,18.37,0
Mazda,CX-3,2012,1092178,231878,Hybrid,Automatic,1500,SUV,Gampaha,Reconditioned,Individual,Silver,20,12,Low Tax Era,Standard,High,4.71,0
Toyota,Axio,2016,2181308,68865,Hybrid,Automatic,1500,Sedan,Colombo,Used,Dealer,Gold,14,8,Medium Tax Era,Standard,High,31.67,1
Honda,Civic,2019,2604647,66399,Hybrid,Automatic,1000,Sedan,Gampaha,Used,Individual,Black,12,5,Medium Tax Era,Standard,High,39.23,0
Mitsubishi,Lancer,2020,2501482,35059,Petrol,Automatic,1500,Van,Colombo,Reconditioned,Individual,White,22,4,High Tax Era,Standard,Low,71.35,0
Toyota,CH-R,2020,2788071,35079,Petrol,Automatic,1800,SUV,Anuradhapura,Reconditioned,Dealer,White,6,4,High Tax Era,Standard,Low,79.48,0
Toyota,Allion,2017,2441952,118757,Hybrid,Automatic,2000,Sedan,Kalutara,Used,Dealer,White,14,7,Medium Tax Era,Standard,High,20.56,0
Benz,C180,2016,3589472,67856,Petrol,Automatic,3500,Sedan,Colombo,Used,Dealer,Green,17,8,Medium Tax Era,Luxury,Low,52.9,0
Honda,Freed,2021,3802033,41665,Hybrid,Automatic,1000,Van,Kandy,Used,Dealer,White,10,3,High Tax Era,Standard,High,91.25,0
Toyota,Corolla,2016,2140473,99052,Hybrid,Automatic,1300,Sedan,Gampaha,Used,Dealer,White,8,8,Medium Tax Era,Standard,High,21.61,0
Toyota,Vezel,2015,1678521,112355,Hybrid,Automatic,1500,SUV,Gampaha,Reconditioned,Dealer,White,5,9,Low Tax Era,Standard,High,14.94,1
Suzuki,Swift,2017,1433917,55850,Hybrid,Manual,1500,Hatchback,Ratnapura,Used,Individual,White,21,7,Medium Tax Era,Standard,High,25.67,1
Nissan,March,2016,1503673,64354,Hybrid,Automatic,1000,Hatchback,Kurunegala,Used,Individual,White,21,8,Medium Tax Era,Standard,High,23.37,0
Hyundai,i10,2012,886387,212413,Electric,Manual,0,Wagon,Negombo,Reconditioned,Dealer,Green,22,12,Low Tax Era,Standard,Very High,4.17,0
Toyota,Camry,2010,681535,239007,Diesel,Manual,1300,Sedan,Anuradhapura,Used,Individual,Silver,13,14,Low Tax Era,Standard,Medium,2.85,0
Toyota,CH-R,2019,2993094,76062,Hybrid,Automatic,1300,SUV,Kurunegala,Used,Dealer,Black,16,5,Medium Tax Era,Standard,High,39.35,0
Toyota,Premio,2016,1982956,60662,Diesel,Automatic,1000,Sedan,Negombo,Used,Dealer,Black,17,8,Medium Tax Era,Standard,Medium,32.69,0
Toyota,CH-R,2016,1672536,106081,Petrol,Manual,2000,SUV,Kalutara,Used,Individual,White,21,8,Medium Tax Era,Standard,Low,15.77,0
Suzuki,Wagon R,2017,1253567,98606,Diesel,Automatic,1000,Hatchback,Negombo,Used,Individual,White,18,7,Medium Tax Era,Standard,Medium,12.71,1
Mazda,Demio,2013,979651,246472,Petrol,Automatic,1800,Hatchback,Kalutara,Used,Dealer,White,10,11,Low Tax Era,Standard,Low,3.97,0
KIA,Picanto,2020,2141501,29561,Petrol,Manual,1500,Van,Colombo,Reconditioned,Dealer,White,15,4,High Tax Era,Standard,Low,72.44,0
Toyota,Aqua,2021,3589289,29199,Diesel,Automatic,1000,Hatchback,Kurunegala,Used,Individual,White,7,3,High Tax Era,Standard,Medium,122.92,1
Honda,Accord,2020,2515162,22906,Petrol,Automatic,1000,Sedan,Jaffna,Reconditioned,Individual,Black,13,4,High Tax Era,Standard,Medium,109.8,0
Mazda,Demio,2019,2808925,82520,Hybrid,Automatic,1800,Hatchback,Gampaha,Used,Dealer,Black,10,5,Medium Tax Era,Standard,High,34.04,0
Toyota,Premio,2023,5383469,5733,Hybrid,Automatic,2000,Sedan,Galle,Used,Dealer,Black,17,1,High Tax Era,Standard,High,938.87,0
Mazda,Atenza,2020,2659171,17139,Hybrid,Manual,1000,Wagon,Negombo,Reconditioned,Dealer,Silver,10,4,High Tax Era,Standard,High,155.14,0
KIA,Cerato,2020,2421709,27713,Petrol,Automatic,1300,Van,Ratnapura,Used,Individual,White,17,4,High Tax Era,Standard,Medium,87.38,0
Benz,C180,2011,1623622,224059,Petrol,Manual,2500,Coupe,Kandy,Used,Dealer,Black,19,13,Low Tax Era,Luxury,Low,7.25,0
Toyota,Allion,2012,1495430,195953,Electric,Automatic,0,Sedan,Negombo,Reconditioned,Individual,White,22,12,Low Tax Era,Standard,Very High,7.63,0
BMW,520d,2016,3104420,61427,Hybrid,Automatic,2500,Sedan,Kandy,Used,Dealer,Silver,6,8,Medium Tax Era,Luxury,High,50.54,0
Benz,C180,2011,1578300,177768,Petrol,Manual,3500,SUV,Colombo,Used,Dealer,Silver,7,13,Low Tax Era,Luxury,Low,8.88,0
Toyota,Premio,2020,3370301,43602,Electric,Automatic,0,Sedan,Gampaha,Used,Individual,Red,6,4,High Tax Era,Standard,Very High,77.3,0
Toyota,Corolla,2018,2931631,66385,Hybrid,Automatic,1800,Sedan,Jaffna,Used,Dealer,Red,18,6,Medium Tax Era,Standard,High,44.16,0
Toyota,Premio,2021,4353039,30251,Hybrid,Automatic,1000,Sedan,Colombo,Used,Dealer,White,6,3,High Tax Era,Standard,High,143.89,0
Toyota,Aqua,2008,592588,237661,Petrol,Automatic,1500,Hatchback,Jaffna,Reconditioned,Dealer,White,23,16,Low Tax Era,Standard,Low,2.49,1
Toyota,Corolla,2017,2515214,114319,Hybrid,Automatic,1000,Sedan,Colombo,Used,Individual,Black,5,7,Medium Tax Era,Standard,High,22,0
Toyota,Allion,2015,1547342,92326,Petrol,Automatic,1300,Sedan,Colombo,Reconditioned,Individual,White,15,9,Low Tax Era,Standard,Medium,16.76,0
KIA,Sportage,2021,2684505,41015,Petrol,Manual,1300,Van,Gampaha,Reconditioned,Dealer,White,24,3,High Tax Era,Standard,Medium,65.45,0
Honda,Freed,2016,2006350,96446,Hybrid,Automatic,1500,Van,Kurunegala,Reconditioned,Dealer,Black,23,8,Medium Tax Era,Standard,High,20.8,0
BMW,X3,2019,5061530,68380,Hybrid,Automatic,2500,Van,Negombo,Used,Individual,Green,13,5,Medium Tax Era,Luxury,High,74.02,0
Toyota,Axio,2018,2145555,56309,Petrol,Automatic,1800,Sedan,Batticaloa,Used,Individual,Blue,9,6,Medium Tax Era,Standard,Low,38.1,1
Suzuki,Hustler,2016,1392744,44703,Hybrid,Automatic,1300,Van,Anuradhapura,Reconditioned,Individual,White,23,8,Medium Tax Era,Standard,High,31.15,0
Suzuki,Swift,2017,1212919,97056,Petrol,Automatic,1300,Hatchback,Batticaloa,Used,Individual,Grey,17,7,Medium Tax Era,Standard,Medium,12.5,1
Toyota,Vezel,2017,1867769,109350,Petrol,Automatic,1000,SUV,Jaffna,Used,Individual,Silver,16,7,Medium Tax Era,Standard,Medium,17.08,1
BMW,530i,2013,2259443,124738,Diesel,Automatic,3500,Hatchback,Colombo,Reconditioned,Individual,Silver,16,11,Low Tax Era,Luxury,Low,18.11,0
Toyota,Allion,2015,1768292,75946,Hybrid,Automatic,2000,Sedan,Negombo,Reconditioned,Individual,Grey,10,9,Low Tax Era,Standard,High,23.28,0
Toyota,Prius,2022,4783136,15968,Hybrid,Manual,2000,Sedan,Kandy,Used,Dealer,White,21,2,High Tax Era,Standard,High,299.53,1
Honda,Civic,2022,4492655,16239,Hybrid,Automatic,1000,Sedan,Jaffna,Used,Individual,Black,22,2,High Tax Era,Standard,High,276.64,0
Suzuki,Celerio,2009,500000,112556,Petrol,Manual,1800,Hatchback,Negombo,Used,Individual,White,19,15,Low Tax Era,Standard,Low,4.44,0
Honda,City,2022,4119171,37473,Petrol,Automatic,1300,Sedan,Kalutara,Used,Dealer,Silver,23,2,High Tax Era,Standard,Medium,109.92,0
Mitsubishi,Mirage,2017,1681770,48125,Hybrid,Manual,1000,Sedan,Jaffna,Used,Dealer,Silver,13,7,Medium Tax Era,Standard,High,34.95,0
Honda,Freed,2014,1215291,84114,Hybrid,Manual,1000,Van,Jaffna,Used,Individual,White,11,10,Low Tax Era,Standard,High,14.45,0
Toyota,Camry,2015,1464963,49108,Diesel,Automatic,1000,Sedan,Gampaha,Used,Individual,White,7,9,Low Tax Era,Standard,Medium,29.83,0
Honda,Grace,2016,1784201,62612,Hybrid,Automatic,1800,Sedan,Gampaha,Used,Individual,Black,9,8,Medium Tax Era,Standard,High,28.5,0
Suzuki,Swift,2019,2036488,99889,Hybrid,Automatic,2000,Hatchback,Colombo,Used,Dealer,Grey,8,5,Medium Tax Era,Standard,High,20.39,1
Toyota,Premio,2016,1713424,77650,Petrol,Automatic,2000,Sedan,Gampaha,Used,Dealer,Black,20,8,Medium Tax Era,Standard,Low,22.07,0
Nissan,March,2014,1243285,234243,Hybrid,Automatic,1000,Hatchback,Colombo,Reconditioned,Individual,Red,21,10,Low Tax Era,Standard,High,5.31,0
Toyota,Allion,2015,2028167,52149,Hybrid,Automatic,2000,Sedan,Kalutara,Used,Dealer,Blue,13,9,Low Tax Era,Standard,High,38.89,0
Honda,Accord,2015,1770451,115388,Electric,Automatic,0,Sedan,Ratnapura,Used,Individual,Blue,11,9,Low Tax Era,Standard,Very High,15.34,0
Toyota,Allion,2012,874572,207556,Petrol,Manual,1300,Sedan,Galle,Used,Individual,White,7,12,Low Tax Era,Standard,Medium,4.21,0
Suzuki,Alto,2013,705366,87421,Petrol,Automatic,1000,Hatchback,Kandy,Reconditioned,Individual,Red,21,11,Low Tax Era,Standard,Medium,8.07,1
Toyota,Axio,2017,2312082,73893,Hybrid,Automatic,1800,Sedan,Anuradhapura,Used,Individual,White,10,7,Medium Tax Era,Standard,High,31.29,1
Toyota,Aqua,2020,3277434,20051,Hybrid,Automatic,2000,Hatchback,Kurunegala,Used,Dealer,White,7,4,High Tax Era,Standard,High,163.45,1
Toyota,Prius,2015,2141989,49686,Hybrid,Automatic,1800,Hatchback,Colombo,Reconditioned,Dealer,White,20,9,Low Tax Era,Standard,High,43.11,1
Suzuki,Celerio,2019,1576404,69328,Diesel,Manual,1500,Coupe,Gampaha,Used,Individual,Green,12,5,Medium Tax Era,Standard,Low,22.74,0
Toyota,Premio,2011,733156,201237,Petrol,Manual,1000,Sedan,Galle,Used,Individual,White,8,13,Low Tax Era,Standard,Medium,3.64,0
Toyota,Prius,2015,2129384,75585,Electric,Automatic,0,SUV,Gampaha,Reconditioned,Dealer,Grey,10,9,Low Tax Era,Standard,Very High,28.17,1
Suzuki,Spacia,2017,1447404,101929,Hybrid,Automatic,1300,Wagon,Jaffna,Used,Dealer,Blue,20,7,Medium Tax Era,Standard,High,14.2,0
Mitsubishi,Mirage,2009,542074,100609,Petrol,Manual,1300,Hatchback,Colombo,Reconditioned,Dealer,Brown,18,15,Low Tax Era,Standard,Medium,5.39,0
KIA,Cerato,2014,1173747,246370,Diesel,Automatic,2000,Hatchback,Colombo,Used,Individual,Gold,16,10,Low Tax Era,Standard,Low,4.76,0
Suzuki,Every,2021,2187595,43179,Diesel,Automatic,2000,Van,Kurunegala,Used,Individual,Black,9,3,High Tax Era,Standard,Low,50.66,0
Suzuki,Alto,2016,1057359,89841,Petrol,Automatic,660,Hatchback,Colombo,Used,Individual,Red,18,8,Medium Tax Era,Standard,Medium,11.77,1
Honda,Civic,2017,2346337,86851,Electric,Automatic,0,Sedan,Gampaha,Used,Dealer,Black,11,7,Medium Tax Era,Standard,Very High,27.02,0
Mitsubishi,ASX,2018,2215218,66715,Hybrid,Automatic,2000,Coupe,Colombo,Reconditioned,Individual,Black,10,6,Medium Tax Era,Standard,High,33.2,0
Nissan,March,2012,810225,140428,Petrol,Automatic,660,Hatchback,Colombo,Used,Individual,Black,21,12,Low Tax Era,Standard,Medium,5.77,0
Suzuki,Hustler,2013,939717,109300,Hybrid,Automatic,1800,Van,Matara,Reconditioned,Dealer,Grey,14,11,Low Tax Era,Standard,High,8.6,0
KIA,Sportage,2011,714746,83191,Petrol,Automatic,1800,Wagon,Kalutara,Used,Individual,Red,15,13,Low Tax Era,Standard,Low,8.59,0
Suzuki,Spacia,2017,1323240,89230,Hybrid,Automatic,2000,SUV,Batticaloa,Used,Individual,White,12,7,Medium Tax Era,Standard,High,14.83,0
Nissan,Tiida,2019,2305179,116816,Electric,Automatic,0,Hatchback,Batticaloa,Used,Dealer,Gold,23,5,Medium Tax Era,Standard,Very High,19.73,0
Toyota,Premio,2017,1978674,116295,Petrol,Automatic,1800,Sedan,Ratnapura,Reconditioned,Individual,Green,19,7,Medium Tax Era,Standard,Low,17.01,0
Toyota,Allion,2019,3181059,99560,Electric,Automatic,0,Sedan,Gampaha,Reconditioned,Individual,Black,6,5,Medium Tax Era,Standard,Very High,31.95,0
Honda,City,2016,2245244,100703,Hybrid,Automatic,1000,Hatchback,Gampaha,Used,Individual,Black,22,8,Medium Tax Era,Standard,High,22.3,0
Toyota,Premio,2018,2792067,104946,Hybrid,Automatic,1500,Sedan,Gampaha,Reconditioned,Dealer,White,19,6,Medium Tax Era,Standard,High,26.6,0
Nissan,Tiida,2022,3176221,48069,Hybrid,Automatic,1800,SUV,Ratnapura,Used,Individual,Black,17,2,High Tax Era,Standard,High,66.07,0
Toyota,Allion,2019,3244379,84638,Hybrid,Automatic,1800,Sedan,Galle,Reconditioned,Dealer,Black,23,5,Medium Tax Era,Standard,High,38.33,0
Toyota,Corolla,2019,2749009,69806,Petrol,Automatic,1000,Sedan,Anuradhapura,Reconditioned,Individual,White,14,5,Medium Tax Era,Standard,Medium,39.38,0
Toyota,Premio,2018,2391267,119578,Petrol,Automatic,2000,Sedan,Galle,Used,Dealer,Blue,16,6,Medium Tax Era,Standard,Low,20,0
Toyota,Prius,2019,2419022,55379,Diesel,Automatic,1500,Wagon,Gampaha,Used,Dealer,Red,7,5,Medium Tax Era,Standard,Low,43.68,1
Honda,Freed,2018,2359263,99796,Petrol,Automatic,1800,Van,Colombo,Reconditioned,Dealer,Black,18,6,Medium Tax Era,Standard,Low,23.64,0
Toyota,Camry,2017,2545092,76727,Hybrid,Automatic,1300,Sedan,Colombo,Used,Individual,Silver,23,7,Medium Tax Era,Standard,High,33.17,0
Toyota,Camry,2018,2768839,83934,Hybrid,Automatic,2000,Sedan,Gampaha,Used,Individual,White,24,6,Medium Tax Era,Standard,High,32.99,0
Mitsubishi,Lancer,2018,2556259,61621,Hybrid,Automatic,1800,Van,Colombo,Reconditioned,Individual,Blue,15,6,Medium Tax Era,Standard,High,41.48,0
Hyundai,Accent,2012,762426,219401,Diesel,Automatic,1000,Coupe,Gampaha,Reconditioned,Individual,White,23,12,Low Tax Era,Standard,Medium,3.48,0
Suzuki,Swift,2015,943568,47999,Petrol,Automatic,1300,Hatchback,Negombo,Reconditioned,Dealer,White,11,9,Low Tax Era,Standard,Medium,19.66,1
Suzuki,Wagon R,2008,500000,205736,Petrol,Automatic,660,Hatchback,Kurunegala,Reconditioned,Dealer,White,16,16,Low Tax Era,Standard,Medium,2.43,1
Toyota,CH-R,2013,1261256,99675,Hybrid,Manual,1300,SUV,Gampaha,Reconditioned,Individual,Grey,15,11,Low Tax Era,Standard,High,12.65,0
KIA,Sportage,2014,1196966,97073,Diesel,Automatic,1300,SUV,Galle,Reconditioned,Dealer,White,16,10,Low Tax Era,Standard,Medium,12.33,0
Honda,Insight,2022,3663274,43228,Hybrid,Automatic,1000,SUV,Kalutara,Used,Dealer,White,5,2,High Tax Era,Standard,High,84.74,0
Toyota,Camry,2010,805206,244437,Petrol,Automatic,2000,Sedan,Kandy,Used,Individual,Red,21,14,Low Tax Era,Standard,Low,3.29,0
Toyota,Vitz,2020,2872491,28140,Petrol,Automatic,1000,Hatchback,Kandy,Reconditioned,Individual,Silver,16,4,High Tax Era,Standard,Medium,102.07,0
Suzuki,Hustler,2015,1000016,56994,Petrol,Automatic,2000,Van,Ratnapura,Used,Dealer,White,12,9,Low Tax Era,Standard,Low,17.55,0
Mazda,CX-5,2013,1062915,107624,Hybrid,Manual,1000,SUV,Colombo,Used,Individual,Brown,5,11,Low Tax Era,Standard,High,9.88,0
Mitsubishi,Pajero,2016,1345388,91578,Diesel,Automatic,1500,SUV,Galle,Used,Individual,Red,8,8,Medium Tax Era,Standard,Low,14.69,0
Toyota,Corolla,2015,1969828,107821,Hybrid,Automatic,1800,Sedan,Colombo,Used,Dealer,Black,22,9,Low Tax Era,Standard,High,18.27,0
Suzuki,Hustler,2013,715116,169087,Diesel,Manual,1500,Wagon,Kurunegala,Used,Individual,Grey,16,11,Low Tax Era,Standard,Low,4.23,0
